,creation_date,Status,SRN,Type of SR,Street Address,Zip,X-Coordinate,Y-Coordinate,Ward,Police_District,Community_Area,Latitude,Longitude,number_of_black_carts_delivered
80,2018-12-17T00:00:00.000,Open,18-03381871,Garbage Cart Black Maintenance/Replacement,1958 S AVERS AVE,60623,1151051.865,1889988.339,24,10,29,41.85338317,-87.72119543,0
81,2018-12-17T00:00:00.000,Open,18-03380930,Garbage Cart Black Maintenance/Replacement,4847 W WINNEMAC AVE,60630,1143127.46,1933137.87,45,16,12,41.97245618,-87.74978117,0
82,2018-12-17T00:00:00.000,Open,18-03383338,Garbage Cart Black Maintenance/Replacement,1530 E 65TH PL,60637,1187527.578,1861870.728,5,3,42,41.77618187,-87.58761734,0
83,2018-12-17T00:00:00.000,Open,18-03383318,Garbage Cart Black Maintenance/Replacement,6114 N ROCKWELL ST,60659,1157887.858,1940498.811,40,24,2,41.9927089,-87.69475059,0
84,2018-12-17T00:00:00.000,Open,18-03378724,Garbage Cart Black Maintenance/Replacement,9150 S WALLACE ST,60620,1173899.504,1844543.481,21,22,73,41.72732365,-87.63866246,0
85,2018-12-17T00:00:00.000,Open,18-03379365,Garbage Cart Black Maintenance/Replacement,5130 S ELLIS AVE,60615,1183826.78,1871244.274,5,2,41,41.80131266,-87.60148965,0
86,2018-12-17T00:00:00.000,Open,18-03384238,Garbage Cart Black Maintenance/Replacement,8816 S PARNELL AVE,60620,1174177.687,1846451.928,21,22,71,41.73380554,-87.63761947,0
87,2018-12-17T00:00:00.000,Open - Dup,18-03383679,Garbage Cart Black Maintenance/Replacement,3038 W FLOURNOY ST,60612,1156216.16,1896877.363,28,11,27,41.87292254,-87.70255547,0
88,2018-12-17T00:00:00.000,Open,18-03382704,Garbage Cart Black Maintenance/Replacement,10015 S PROSPECT AVE,60643,1167338.376,1838399.78,19,22,72,41.71167966,-87.66248732,0
89,2018-12-17T00:00:00.000,Open,18-03378665,Garbage Cart Black Maintenance/Replacement,1532 W 21ST ST,60608,1166440.95,1890167.659,25,12,31,41.85430217,-87.66494626,0
